"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","continuation","trimmed_nozero"
"1",1,28,"disamb","fp","disamb fp",8,0,324,324,71,"Unambiguous","Inconsistent",324
"3",1,46,"disamb","fp","disamb fp",6,0,292,292,71,"Unambiguous","Consistent",292
"5",1,40,"disamb","fp","disamb fp",8,0,329,329,71,"Unambiguous","Inconsistent",329
"7",1,25,"disamb","fp","disamb fp",5,0,146,146,71,"Ambiguous","Consistent",146
"9",1,42,"disamb","fp","disamb fp",6,0,282,282,71,"Unambiguous","Consistent",282
"11",1,37,"disamb","fp","disamb fp",5,0,323,323,71,"Ambiguous","Consistent",323
"13",1,26,"disamb","fp","disamb fp",6,0,309,309,71,"Unambiguous","Consistent",309
"15",1,30,"disamb","fp","disamb fp",6,0,299,299,71,"Unambiguous","Consistent",299
"17",1,32,"disamb","fp","disamb fp",8,0,323,323,71,"Unambiguous","Inconsistent",323
"19",1,31,"disamb","fp","disamb fp",7,1,0,NA,71,"Ambiguous","Inconsistent",NA
"21",1,47,"disamb","fp","disamb fp",7,0,232,232,71,"Ambiguous","Inconsistent",232
"23",1,44,"disamb","fp","disamb fp",8,0,686,686,71,"Unambiguous","Inconsistent",NA
"25",1,27,"disamb","fp","disamb fp",7,0,317,317,71,"Ambiguous","Inconsistent",317
"27",1,33,"disamb","fp","disamb fp",5,0,290,290,71,"Ambiguous","Consistent",290
"29",1,45,"disamb","fp","disamb fp",5,0,220,220,71,"Ambiguous","Consistent",220
"31",1,34,"disamb","fp","disamb fp",6,0,179,179,71,"Unambiguous","Consistent",179
"33",1,35,"disamb","fp","disamb fp",7,0,190,190,71,"Ambiguous","Inconsistent",190
"35",1,29,"disamb","fp","disamb fp",5,0,325,325,71,"Ambiguous","Consistent",325
"37",1,41,"disamb","fp","disamb fp",5,0,205,205,71,"Ambiguous","Consistent",205
"39",1,38,"disamb","fp","disamb fp",6,0,310,310,71,"Unambiguous","Consistent",310
"41",1,43,"disamb","fp","disamb fp",7,0,364,364,71,"Ambiguous","Inconsistent",364
"43",1,39,"disamb","fp","disamb fp",7,0,404,404,71,"Ambiguous","Inconsistent",404
"45",1,48,"disamb","fp","disamb fp",8,0,211,211,71,"Unambiguous","Inconsistent",211
