"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"289",1,28,"disamb","rp",71,"disamb rp",8,0,324,324,"Unambiguous","Inconsistent"
"291",1,46,"disamb","rp",71,"disamb rp",6,0,292,292,"Unambiguous","Consistent"
"293",1,40,"disamb","rp",71,"disamb rp",8,0,329,329,"Unambiguous","Inconsistent"
"295",1,25,"disamb","rp",71,"disamb rp",5,0,146,146,"Ambiguous","Consistent"
"297",1,42,"disamb","rp",71,"disamb rp",6,0,282,282,"Unambiguous","Consistent"
"299",1,37,"disamb","rp",71,"disamb rp",5,0,323,323,"Ambiguous","Consistent"
"301",1,26,"disamb","rp",71,"disamb rp",6,0,309,309,"Unambiguous","Consistent"
"303",1,30,"disamb","rp",71,"disamb rp",6,0,299,299,"Unambiguous","Consistent"
"305",1,32,"disamb","rp",71,"disamb rp",8,0,323,323,"Unambiguous","Inconsistent"
"307",1,31,"disamb","rp",71,"disamb rp",7,1,0,NA,"Ambiguous","Inconsistent"
"309",1,47,"disamb","rp",71,"disamb rp",7,0,232,232,"Ambiguous","Inconsistent"
"311",1,44,"disamb","rp",71,"disamb rp",8,0,686,686,"Unambiguous","Inconsistent"
"313",1,27,"disamb","rp",71,"disamb rp",7,0,317,317,"Ambiguous","Inconsistent"
"315",1,33,"disamb","rp",71,"disamb rp",5,0,290,290,"Ambiguous","Consistent"
"317",1,45,"disamb","rp",71,"disamb rp",5,0,220,220,"Ambiguous","Consistent"
"319",1,34,"disamb","rp",71,"disamb rp",6,0,179,179,"Unambiguous","Consistent"
"321",1,35,"disamb","rp",71,"disamb rp",7,0,190,190,"Ambiguous","Inconsistent"
"323",1,29,"disamb","rp",71,"disamb rp",5,0,325,325,"Ambiguous","Consistent"
"325",1,41,"disamb","rp",71,"disamb rp",5,0,205,205,"Ambiguous","Consistent"
"327",1,38,"disamb","rp",71,"disamb rp",6,0,310,310,"Unambiguous","Consistent"
"329",1,43,"disamb","rp",71,"disamb rp",7,0,364,364,"Ambiguous","Inconsistent"
"331",1,39,"disamb","rp",71,"disamb rp",7,0,404,404,"Ambiguous","Inconsistent"
"333",1,48,"disamb","rp",71,"disamb rp",8,0,750,750,"Unambiguous","Inconsistent"
"335",1,36,"disamb","rp",71,"disamb rp",8,0,267,267,"Unambiguous","Inconsistent"
"1153",2,32,"disamb","rp",71,"disamb rp",5,0,496,496,"Ambiguous","Consistent"
"1155",2,48,"disamb","rp",71,"disamb rp",5,0,603,603,"Ambiguous","Consistent"
"1157",2,40,"disamb","rp",71,"disamb rp",5,1,0,NA,"Ambiguous","Consistent"
"1159",2,28,"disamb","rp",71,"disamb rp",5,0,705,705,"Ambiguous","Consistent"
"1161",2,38,"disamb","rp",71,"disamb rp",7,0,640,640,"Ambiguous","Inconsistent"
"1163",2,42,"disamb","rp",71,"disamb rp",7,0,364,364,"Ambiguous","Inconsistent"
"1165",2,37,"disamb","rp",71,"disamb rp",6,0,273,273,"Unambiguous","Consistent"
"1167",2,29,"disamb","rp",71,"disamb rp",6,0,203,203,"Unambiguous","Consistent"
"1169",2,45,"disamb","rp",71,"disamb rp",6,0,383,383,"Unambiguous","Consistent"
