"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","continuation","trimmed_nozero"
"22909",1,28,"disamb","tt","disamb tt",8,0,324,324,85,"Unambiguous","Inconsistent",324
"22911",1,46,"disamb","tt","disamb tt",6,0,459,459,85,"Unambiguous","Consistent",459
"22913",1,40,"disamb","tt","disamb tt",8,0,567,567,85,"Unambiguous","Inconsistent",567
"22915",1,25,"disamb","tt","disamb tt",5,0,496,496,85,"Ambiguous","Consistent",496
"22917",1,42,"disamb","tt","disamb tt",6,0,282,282,85,"Unambiguous","Consistent",282
"22919",1,37,"disamb","tt","disamb tt",5,0,488,488,85,"Ambiguous","Consistent",488
"22921",1,26,"disamb","tt","disamb tt",6,0,603,603,85,"Unambiguous","Consistent",603
"22923",1,30,"disamb","tt","disamb tt",6,0,299,299,85,"Unambiguous","Consistent",299
"22925",1,32,"disamb","tt","disamb tt",8,0,609,609,85,"Unambiguous","Inconsistent",609
"22927",1,31,"disamb","tt","disamb tt",7,0,237,237,85,"Ambiguous","Inconsistent",237
"22929",1,47,"disamb","tt","disamb tt",7,0,446,446,85,"Ambiguous","Inconsistent",446
"22931",1,44,"disamb","tt","disamb tt",8,0,993,993,85,"Unambiguous","Inconsistent",993
"22933",1,27,"disamb","tt","disamb tt",7,0,317,317,85,"Ambiguous","Inconsistent",317
"22935",1,33,"disamb","tt","disamb tt",5,0,290,290,85,"Ambiguous","Consistent",290
"22937",1,45,"disamb","tt","disamb tt",5,0,220,220,85,"Ambiguous","Consistent",220
"22939",1,34,"disamb","tt","disamb tt",6,0,179,179,85,"Unambiguous","Consistent",179
"22941",1,35,"disamb","tt","disamb tt",7,0,1020,1020,85,"Ambiguous","Inconsistent",1020
"22943",1,29,"disamb","tt","disamb tt",5,0,530,530,85,"Ambiguous","Consistent",530
"22945",1,41,"disamb","tt","disamb tt",5,0,431,431,85,"Ambiguous","Consistent",431
"22947",1,38,"disamb","tt","disamb tt",6,0,310,310,85,"Unambiguous","Consistent",310
"22949",1,43,"disamb","tt","disamb tt",7,0,364,364,85,"Ambiguous","Inconsistent",364
"22951",1,39,"disamb","tt","disamb tt",7,0,567,567,85,"Ambiguous","Inconsistent",567
"22953",1,48,"disamb","tt","disamb tt",8,0,776,776,85,"Unambiguous","Inconsistent",776
"22955",1,36,"disamb","tt","disamb tt",8,0,267,267,85,"Unambiguous","Inconsistent",267
"22957",2,32,"disamb","tt","disamb tt",5,0,496,496,85,"Ambiguous","Consistent",496
"22959",2,48,"disamb","tt","disamb tt",5,0,1734,1734,85,"Ambiguous","Consistent",1734
"22961",2,40,"disamb","tt","disamb tt",5,0,1881,1881,85,"Ambiguous","Consistent",1881
"22963",2,28,"disamb","tt","disamb tt",5,0,705,705,85,"Ambiguous","Consistent",705
"22965",2,38,"disamb","tt","disamb tt",7,0,640,640,85,"Ambiguous","Inconsistent",640
"22967",2,42,"disamb","tt","disamb tt",7,0,364,364,85,"Ambiguous","Inconsistent",364
"22969",2,37,"disamb","tt","disamb tt",6,0,273,273,85,"Unambiguous","Consistent",273
"22971",2,29,"disamb","tt","disamb tt",6,0,203,203,85,"Unambiguous","Consistent",203
"22973",2,45,"disamb","tt","disamb tt",6,0,497,497,85,"Unambiguous","Consistent",497
"22975",2,41,"disamb","tt","disamb tt",6,0,433,433,85,"Unambiguous","Consistent",433
"22977",2,35,"disamb","tt","disamb tt",8,0,507,507,85,"Unambiguous","Inconsistent",507
"22979",2,44,"disamb","tt","disamb tt",5,0,721,721,85,"Ambiguous","Consistent",721
"22981",2,46,"disamb","tt","disamb tt",7,0,105,105,85,"Ambiguous","Inconsistent",105
"22983",2,26,"disamb","tt","disamb tt",7,0,210,210,85,"Ambiguous","Inconsistent",210
"22985",2,25,"disamb","tt","disamb tt",6,1,0,NA,85,"Unambiguous","Consistent",NA
"22987",2,47,"disamb","tt","disamb tt",8,0,356,356,85,"Unambiguous","Inconsistent",356
"22989",2,34,"disamb","tt","disamb tt",7,1,0,NA,85,"Ambiguous","Inconsistent",NA
"22991",2,43,"disamb","tt","disamb tt",8,0,334,334,85,"Unambiguous","Inconsistent",334
"22993",2,33,"disamb","tt","disamb tt",6,0,424,424,85,"Unambiguous","Consistent",424
"22995",2,39,"disamb","tt","disamb tt",8,0,870,870,85,"Unambiguous","Inconsistent",870
"22997",2,30,"disamb","tt","disamb tt",7,0,334,334,85,"Ambiguous","Inconsistent",334
"22999",2,31,"disamb","tt","disamb tt",8,0,320,320,85,"Unambiguous","Inconsistent",320
"23001",2,36,"disamb","tt","disamb tt",5,0,674,674,85,"Ambiguous","Consistent",674
"23003",2,27,"disamb","tt","disamb tt",8,0,209,209,85,"Unambiguous","Inconsistent",209
"23005",3,36,"disamb","tt","disamb tt",6,0,726,726,85,"Unambiguous","Consistent",726
"23007",3,27,"disamb","tt","disamb tt",5,0,2564,2564,85,"Ambiguous","Consistent",2564
"23009",3,37,"disamb","tt","disamb tt",7,0,1063,1063,85,"Ambiguous","Inconsistent",1063
"23011",3,41,"disamb","tt","disamb tt",7,0,4226,4226,85,"Ambiguous","Inconsistent",4226
"23013",3,26,"disamb","tt","disamb tt",8,0,1565,1565,85,"Unambiguous","Inconsistent",1565
"23015",3,45,"disamb","tt","disamb tt",7,0,1957,1957,85,"Ambiguous","Inconsistent",1957
"23017",3,42,"disamb","tt","disamb tt",8,0,1962,1962,85,"Unambiguous","Inconsistent",1962
