"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"49",1,28,"spillover1","fp",71,"spillover1 fp",8,0,610,610,"Unambiguous","Inconsistent"
"51",1,46,"spillover1","fp",71,"spillover1 fp",6,0,269,269,"Unambiguous","Consistent"
"53",1,40,"spillover1","fp",71,"spillover1 fp",8,0,612,612,"Unambiguous","Inconsistent"
"55",1,25,"spillover1","fp",71,"spillover1 fp",5,0,1106,1106,"Ambiguous","Consistent"
"57",1,42,"spillover1","fp",71,"spillover1 fp",6,0,500,500,"Unambiguous","Consistent"
"59",1,37,"spillover1","fp",71,"spillover1 fp",5,0,667,667,"Ambiguous","Consistent"
"61",1,26,"spillover1","fp",71,"spillover1 fp",6,0,382,382,"Unambiguous","Consistent"
"63",1,30,"spillover1","fp",71,"spillover1 fp",6,0,651,651,"Unambiguous","Consistent"
"65",1,32,"spillover1","fp",71,"spillover1 fp",8,0,581,581,"Unambiguous","Inconsistent"
"67",1,31,"spillover1","fp",71,"spillover1 fp",7,0,558,558,"Ambiguous","Inconsistent"
"69",1,47,"spillover1","fp",71,"spillover1 fp",7,0,271,271,"Ambiguous","Inconsistent"
"71",1,44,"spillover1","fp",71,"spillover1 fp",8,0,550,550,"Unambiguous","Inconsistent"
"73",1,27,"spillover1","fp",71,"spillover1 fp",7,0,931,931,"Ambiguous","Inconsistent"
"75",1,33,"spillover1","fp",71,"spillover1 fp",5,0,651,651,"Ambiguous","Consistent"
"77",1,45,"spillover1","fp",71,"spillover1 fp",5,0,883,883,"Ambiguous","Consistent"
"79",1,34,"spillover1","fp",71,"spillover1 fp",6,0,390,390,"Unambiguous","Consistent"
"81",1,35,"spillover1","fp",71,"spillover1 fp",7,0,269,269,"Ambiguous","Inconsistent"
"83",1,29,"spillover1","fp",71,"spillover1 fp",5,0,802,802,"Ambiguous","Consistent"
"85",1,41,"spillover1","fp",71,"spillover1 fp",5,0,962,962,"Ambiguous","Consistent"
"87",1,38,"spillover1","fp",71,"spillover1 fp",6,0,377,377,"Unambiguous","Consistent"
"89",1,43,"spillover1","fp",71,"spillover1 fp",7,0,824,824,"Ambiguous","Inconsistent"
"91",1,39,"spillover1","fp",71,"spillover1 fp",7,0,982,982,"Ambiguous","Inconsistent"
"93",1,48,"spillover1","fp",71,"spillover1 fp",8,0,732,732,"Unambiguous","Inconsistent"
"95",1,36,"spillover1","fp",71,"spillover1 fp",8,0,298,298,"Unambiguous","Inconsistent"
"913",2,32,"spillover1","fp",71,"spillover1 fp",5,0,1577,1577,"Ambiguous","Consistent"
"915",2,48,"spillover1","fp",71,"spillover1 fp",5,0,1990,1990,"Ambiguous","Consistent"
"917",2,40,"spillover1","fp",71,"spillover1 fp",5,1,0,NA,"Ambiguous","Consistent"
"919",2,28,"spillover1","fp",71,"spillover1 fp",5,0,221,221,"Ambiguous","Consistent"
"921",2,38,"spillover1","fp",71,"spillover1 fp",7,0,1883,1883,"Ambiguous","Inconsistent"
"923",2,42,"spillover1","fp",71,"spillover1 fp",7,0,595,595,"Ambiguous","Inconsistent"
"925",2,37,"spillover1","fp",71,"spillover1 fp",6,0,733,733,"Unambiguous","Consistent"
"927",2,29,"spillover1","fp",71,"spillover1 fp",6,0,353,353,"Unambiguous","Consistent"
"929",2,45,"spillover1","fp",71,"spillover1 fp",6,0,504,504,"Unambiguous","Consistent"
"931",2,41,"spillover1","fp",71,"spillover1 fp",6,0,667,667,"Unambiguous","Consistent"
"933",2,35,"spillover1","fp",71,"spillover1 fp",8,0,300,300,"Unambiguous","Inconsistent"
"935",2,44,"spillover1","fp",71,"spillover1 fp",5,0,481,481,"Ambiguous","Consistent"
"937",2,46,"spillover1","fp",71,"spillover1 fp",7,0,200,200,"Ambiguous","Inconsistent"
"939",2,26,"spillover1","fp",71,"spillover1 fp",7,0,657,657,"Ambiguous","Inconsistent"
"941",2,25,"spillover1","fp",71,"spillover1 fp",6,1,0,NA,"Unambiguous","Consistent"
"943",2,47,"spillover1","fp",71,"spillover1 fp",8,0,270,270,"Unambiguous","Inconsistent"
"945",2,34,"spillover1","fp",71,"spillover1 fp",7,0,427,427,"Ambiguous","Inconsistent"
"947",2,43,"spillover1","fp",71,"spillover1 fp",8,0,423,423,"Unambiguous","Inconsistent"
"949",2,33,"spillover1","fp",71,"spillover1 fp",6,0,559,559,"Unambiguous","Consistent"
"951",2,39,"spillover1","fp",71,"spillover1 fp",8,0,692,692,"Unambiguous","Inconsistent"
"953",2,30,"spillover1","fp",71,"spillover1 fp",7,0,399,399,"Ambiguous","Inconsistent"
"955",2,31,"spillover1","fp",71,"spillover1 fp",8,0,482,482,"Unambiguous","Inconsistent"
"957",2,36,"spillover1","fp",71,"spillover1 fp",5,0,639,639,"Ambiguous","Consistent"
"959",2,27,"spillover1","fp",71,"spillover1 fp",8,0,200,200,"Unambiguous","Inconsistent"
"1777",3,36,"spillover1","fp",74,"spillover1 fp",6,0,582,582,"Unambiguous","Consistent"
"1779",3,27,"spillover1","fp",74,"spillover1 fp",5,0,1672,1672,"Ambiguous","Consistent"
"1781",3,37,"spillover1","fp",74,"spillover1 fp",7,0,1555,1555,"Ambiguous","Inconsistent"
"1783",3,41,"spillover1","fp",74,"spillover1 fp",7,0,1012,1012,"Ambiguous","Inconsistent"
"1785",3,26,"spillover1","fp",74,"spillover1 fp",8,0,272,272,"Unambiguous","Inconsistent"
"1787",3,45,"spillover1","fp",74,"spillover1 fp",7,0,173,173,"Ambiguous","Inconsistent"
"1789",3,42,"spillover1","fp",74,"spillover1 fp",8,0,480,480,"Unambiguous","Inconsistent"
"1791",3,47,"spillover1","fp",74,"spillover1 fp",5,0,1231,1231,"Ambiguous","Consistent"
"1793",3,29,"spillover1","fp",74,"spillover1 fp",7,0,977,977,"Ambiguous","Inconsistent"
"1795",3,34,"spillover1","fp",74,"spillover1 fp",8,0,863,863,"Unambiguous","Inconsistent"
"1797",3,39,"spillover1","fp",74,"spillover1 fp",5,0,1009,1009,"Ambiguous","Consistent"
