"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"193",1,28,"spillover2","fp",71,"High","spillover2 fp",8,0,318,318,"Unambiguous","Inconsistent",318
"195",1,46,"spillover2","fp",71,"High","spillover2 fp",6,0,509,509,"Unambiguous","Consistent",509
"197",1,40,"spillover2","fp",71,"High","spillover2 fp",8,0,143,143,"Unambiguous","Inconsistent",143
"199",1,25,"spillover2","fp",71,"High","spillover2 fp",5,0,330,330,"Ambiguous","Consistent",330
"201",1,42,"spillover2","fp",71,"High","spillover2 fp",6,0,329,329,"Unambiguous","Consistent",329
"203",1,37,"spillover2","fp",71,"High","spillover2 fp",5,0,340,340,"Ambiguous","Consistent",340
"205",1,26,"spillover2","fp",71,"High","spillover2 fp",6,0,197,197,"Unambiguous","Consistent",197
"207",1,30,"spillover2","fp",71,"High","spillover2 fp",6,0,164,164,"Unambiguous","Consistent",164
"209",1,32,"spillover2","fp",71,"High","spillover2 fp",8,0,307,307,"Unambiguous","Inconsistent",307
"211",1,31,"spillover2","fp",71,"High","spillover2 fp",7,0,175,175,"Ambiguous","Inconsistent",175
"213",1,47,"spillover2","fp",71,"High","spillover2 fp",7,0,545,545,"Ambiguous","Inconsistent",545
"215",1,44,"spillover2","fp",71,"High","spillover2 fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"217",1,27,"spillover2","fp",71,"High","spillover2 fp",7,0,149,149,"Ambiguous","Inconsistent",149
"219",1,33,"spillover2","fp",71,"High","spillover2 fp",5,0,328,328,"Ambiguous","Consistent",328
"221",1,45,"spillover2","fp",71,"High","spillover2 fp",5,0,224,224,"Ambiguous","Consistent",224
"223",1,34,"spillover2","fp",71,"High","spillover2 fp",6,0,229,229,"Unambiguous","Consistent",229
"225",1,35,"spillover2","fp",71,"High","spillover2 fp",7,0,422,422,"Ambiguous","Inconsistent",422
"227",1,29,"spillover2","fp",71,"High","spillover2 fp",5,0,191,191,"Ambiguous","Consistent",191
"229",1,41,"spillover2","fp",71,"High","spillover2 fp",5,0,224,224,"Ambiguous","Consistent",224
"231",1,38,"spillover2","fp",71,"High","spillover2 fp",6,0,347,347,"Unambiguous","Consistent",347
"233",1,43,"spillover2","fp",71,"High","spillover2 fp",7,0,156,156,"Ambiguous","Inconsistent",156
"235",1,39,"spillover2","fp",71,"High","spillover2 fp",7,0,413,413,"Ambiguous","Inconsistent",413
"237",1,48,"spillover2","fp",71,"High","spillover2 fp",8,0,343,343,"Unambiguous","Inconsistent",343
"239",1,36,"spillover2","fp",71,"High","spillover2 fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"1057",2,32,"spillover2","fp",71,"High","spillover2 fp",5,0,1051,1051,"Ambiguous","Consistent",1051
"1059",2,48,"spillover2","fp",71,"High","spillover2 fp",5,0,445,445,"Ambiguous","Consistent",445
"1061",2,40,"spillover2","fp",71,"High","spillover2 fp",5,0,197,197,"Ambiguous","Consistent",197
"1063",2,28,"spillover2","fp",71,"High","spillover2 fp",5,1,0,NA,"Ambiguous","Consistent",NA
