"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"481",1,28,"spillover2","rp",71,"spillover2 rp",8,0,318,318,"Unambiguous","Inconsistent"
"483",1,46,"spillover2","rp",71,"spillover2 rp",6,0,1706,1706,"Unambiguous","Consistent"
"485",1,40,"spillover2","rp",71,"spillover2 rp",8,0,143,143,"Unambiguous","Inconsistent"
"487",1,25,"spillover2","rp",71,"spillover2 rp",5,0,330,330,"Ambiguous","Consistent"
"489",1,42,"spillover2","rp",71,"spillover2 rp",6,0,329,329,"Unambiguous","Consistent"
"491",1,37,"spillover2","rp",71,"spillover2 rp",5,0,340,340,"Ambiguous","Consistent"
"493",1,26,"spillover2","rp",71,"spillover2 rp",6,0,197,197,"Unambiguous","Consistent"
"495",1,30,"spillover2","rp",71,"spillover2 rp",6,0,384,384,"Unambiguous","Consistent"
"497",1,32,"spillover2","rp",71,"spillover2 rp",8,0,307,307,"Unambiguous","Inconsistent"
"499",1,31,"spillover2","rp",71,"spillover2 rp",7,0,175,175,"Ambiguous","Inconsistent"
"501",1,47,"spillover2","rp",71,"spillover2 rp",7,0,545,545,"Ambiguous","Inconsistent"
"503",1,44,"spillover2","rp",71,"spillover2 rp",8,1,0,NA,"Unambiguous","Inconsistent"
"505",1,27,"spillover2","rp",71,"spillover2 rp",7,0,149,149,"Ambiguous","Inconsistent"
"507",1,33,"spillover2","rp",71,"spillover2 rp",5,0,328,328,"Ambiguous","Consistent"
"509",1,45,"spillover2","rp",71,"spillover2 rp",5,0,224,224,"Ambiguous","Consistent"
"511",1,34,"spillover2","rp",71,"spillover2 rp",6,0,229,229,"Unambiguous","Consistent"
"513",1,35,"spillover2","rp",71,"spillover2 rp",7,0,422,422,"Ambiguous","Inconsistent"
"515",1,29,"spillover2","rp",71,"spillover2 rp",5,0,191,191,"Ambiguous","Consistent"
"517",1,41,"spillover2","rp",71,"spillover2 rp",5,0,224,224,"Ambiguous","Consistent"
"519",1,38,"spillover2","rp",71,"spillover2 rp",6,0,347,347,"Unambiguous","Consistent"
"521",1,43,"spillover2","rp",71,"spillover2 rp",7,0,156,156,"Ambiguous","Inconsistent"
"523",1,39,"spillover2","rp",71,"spillover2 rp",7,0,413,413,"Ambiguous","Inconsistent"
"525",1,48,"spillover2","rp",71,"spillover2 rp",8,0,343,343,"Unambiguous","Inconsistent"
"527",1,36,"spillover2","rp",71,"spillover2 rp",8,1,0,NA,"Unambiguous","Inconsistent"
"1345",2,32,"spillover2","rp",71,"spillover2 rp",5,0,1051,1051,"Ambiguous","Consistent"
"1347",2,48,"spillover2","rp",71,"spillover2 rp",5,0,689,689,"Ambiguous","Consistent"
"1349",2,40,"spillover2","rp",71,"spillover2 rp",5,0,197,197,"Ambiguous","Consistent"
"1351",2,28,"spillover2","rp",71,"spillover2 rp",5,1,0,NA,"Ambiguous","Consistent"
"1353",2,38,"spillover2","rp",71,"spillover2 rp",7,0,1046,1046,"Ambiguous","Inconsistent"
"1355",2,42,"spillover2","rp",71,"spillover2 rp",7,1,0,NA,"Ambiguous","Inconsistent"
"1357",2,37,"spillover2","rp",71,"spillover2 rp",6,1,0,NA,"Unambiguous","Consistent"
"1359",2,29,"spillover2","rp",71,"spillover2 rp",6,0,290,290,"Unambiguous","Consistent"
"1361",2,45,"spillover2","rp",71,"spillover2 rp",6,0,795,795,"Unambiguous","Consistent"
"1363",2,41,"spillover2","rp",71,"spillover2 rp",6,0,303,303,"Unambiguous","Consistent"
"1365",2,35,"spillover2","rp",71,"spillover2 rp",8,0,535,535,"Unambiguous","Inconsistent"
"1367",2,44,"spillover2","rp",71,"spillover2 rp",5,1,0,NA,"Ambiguous","Consistent"
"1369",2,46,"spillover2","rp",71,"spillover2 rp",7,1,0,NA,"Ambiguous","Inconsistent"
"1371",2,26,"spillover2","rp",71,"spillover2 rp",7,1,0,NA,"Ambiguous","Inconsistent"
"1373",2,25,"spillover2","rp",71,"spillover2 rp",6,1,0,NA,"Unambiguous","Consistent"
"1375",2,47,"spillover2","rp",71,"spillover2 rp",8,1,0,NA,"Unambiguous","Inconsistent"
"1377",2,34,"spillover2","rp",71,"spillover2 rp",7,0,350,350,"Ambiguous","Inconsistent"
"1379",2,43,"spillover2","rp",71,"spillover2 rp",8,0,589,589,"Unambiguous","Inconsistent"
"1381",2,33,"spillover2","rp",71,"spillover2 rp",6,0,621,621,"Unambiguous","Consistent"
"1383",2,39,"spillover2","rp",71,"spillover2 rp",8,0,393,393,"Unambiguous","Inconsistent"
"1385",2,30,"spillover2","rp",71,"spillover2 rp",7,0,370,370,"Ambiguous","Inconsistent"
"1387",2,31,"spillover2","rp",71,"spillover2 rp",8,0,155,155,"Unambiguous","Inconsistent"
"1389",2,36,"spillover2","rp",71,"spillover2 rp",5,0,1332,1332,"Ambiguous","Consistent"
"1391",2,27,"spillover2","rp",71,"spillover2 rp",8,1,0,NA,"Unambiguous","Inconsistent"
"2209",3,36,"spillover2","rp",74,"spillover2 rp",6,0,207,207,"Unambiguous","Consistent"
"2211",3,27,"spillover2","rp",74,"spillover2 rp",5,0,431,431,"Ambiguous","Consistent"
"2213",3,37,"spillover2","rp",74,"spillover2 rp",7,0,459,459,"Ambiguous","Inconsistent"
"2215",3,41,"spillover2","rp",74,"spillover2 rp",7,0,431,431,"Ambiguous","Inconsistent"
"2217",3,26,"spillover2","rp",74,"spillover2 rp",8,0,397,397,"Unambiguous","Inconsistent"
"2219",3,45,"spillover2","rp",74,"spillover2 rp",7,0,225,225,"Ambiguous","Inconsistent"
"2221",3,42,"spillover2","rp",74,"spillover2 rp",8,0,536,536,"Unambiguous","Inconsistent"
"2223",3,47,"spillover2","rp",74,"spillover2 rp",5,0,668,668,"Ambiguous","Consistent"
"2225",3,29,"spillover2","rp",74,"spillover2 rp",7,0,396,396,"Ambiguous","Inconsistent"
"2227",3,34,"spillover2","rp",74,"spillover2 rp",8,0,427,427,"Unambiguous","Inconsistent"
"2229",3,39,"spillover2","rp",74,"spillover2 rp",5,0,870,870,"Ambiguous","Consistent"
"2231",3,48,"spillover2","rp",74,"spillover2 rp",6,0,340,340,"Unambiguous","Consistent"
"2233",3,44,"spillover2","rp",74,"spillover2 rp",6,0,413,413,"Unambiguous","Consistent"
"2235",3,43,"spillover2","rp",74,"spillover2 rp",5,0,360,360,"Ambiguous","Consistent"
"2237",3,28,"spillover2","rp",74,"spillover2 rp",6,0,469,469,"Unambiguous","Consistent"
"2239",3,40,"spillover2","rp",74,"spillover2 rp",6,1,0,NA,"Unambiguous","Consistent"
"2241",3,30,"spillover2","rp",74,"spillover2 rp",8,0,953,953,"Unambiguous","Inconsistent"
"2243",3,32,"spillover2","rp",74,"spillover2 rp",6,0,493,493,"Unambiguous","Consistent"
"2245",3,25,"spillover2","rp",74,"spillover2 rp",7,0,814,814,"Ambiguous","Inconsistent"
"2247",3,38,"spillover2","rp",74,"spillover2 rp",8,0,344,344,"Unambiguous","Inconsistent"
"2249",3,33,"spillover2","rp",74,"spillover2 rp",7,0,510,510,"Ambiguous","Inconsistent"
"2251",3,31,"spillover2","rp",74,"spillover2 rp",5,0,258,258,"Ambiguous","Consistent"
"2253",3,46,"spillover2","rp",74,"spillover2 rp",8,0,2452,2452,"Unambiguous","Inconsistent"
"2255",3,35,"spillover2","rp",74,"spillover2 rp",5,0,461,461,"Ambiguous","Consistent"
"3033",4,28,"spillover2","rp",72,"spillover2 rp",7,0,672,672,"Ambiguous","Inconsistent"
"3035",4,31,"spillover2","rp",72,"spillover2 rp",6,0,908,908,"Unambiguous","Consistent"
"3037",4,44,"spillover2","rp",72,"spillover2 rp",7,0,275,275,"Ambiguous","Inconsistent"
"3039",4,26,"spillover2","rp",72,"spillover2 rp",5,0,684,684,"Ambiguous","Consistent"
"3041",4,37,"spillover2","rp",72,"spillover2 rp",8,0,575,575,"Unambiguous","Inconsistent"
"3043",4,32,"spillover2","rp",72,"spillover2 rp",7,0,924,924,"Ambiguous","Inconsistent"
"3045",4,36,"spillover2","rp",72,"spillover2 rp",7,0,485,485,"Ambiguous","Inconsistent"
"3047",4,38,"spillover2","rp",72,"spillover2 rp",5,0,427,427,"Ambiguous","Consistent"
"3049",4,46,"spillover2","rp",72,"spillover2 rp",5,0,2507,2507,"Ambiguous","Consistent"
"3050",4,29,"spillover2","rp",72,"spillover2 rp",8,0,1450,1450,"Unambiguous","Inconsistent"
"3052",4,43,"spillover2","rp",72,"spillover2 rp",6,0,695,695,"Unambiguous","Consistent"
"3054",4,33,"spillover2","rp",72,"spillover2 rp",8,0,632,632,"Unambiguous","Inconsistent"
