"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","continuation","trimmed_nozero"
"30545",1,28,"spillover2","tt","spillover2 tt",8,0,318,318,57,"Unambiguous","Inconsistent",318
"30547",1,46,"spillover2","tt","spillover2 tt",6,0,1159,1159,57,"Unambiguous","Consistent",1159
"30549",1,40,"spillover2","tt","spillover2 tt",8,0,143,143,57,"Unambiguous","Inconsistent",143
"30551",1,25,"spillover2","tt","spillover2 tt",5,0,661,661,57,"Ambiguous","Consistent",661
"30553",1,42,"spillover2","tt","spillover2 tt",6,0,329,329,57,"Unambiguous","Consistent",329
"30555",1,37,"spillover2","tt","spillover2 tt",5,0,340,340,57,"Ambiguous","Consistent",340
"30557",1,26,"spillover2","tt","spillover2 tt",6,0,197,197,57,"Unambiguous","Consistent",197
"30559",1,30,"spillover2","tt","spillover2 tt",6,0,292,292,57,"Unambiguous","Consistent",292
"30561",1,32,"spillover2","tt","spillover2 tt",8,0,307,307,57,"Unambiguous","Inconsistent",307
"30563",1,31,"spillover2","tt","spillover2 tt",7,0,175,175,57,"Ambiguous","Inconsistent",175
"30565",1,47,"spillover2","tt","spillover2 tt",7,0,545,545,57,"Ambiguous","Inconsistent",545
"30567",1,44,"spillover2","tt","spillover2 tt",8,0,332,332,57,"Unambiguous","Inconsistent",332
"30569",1,27,"spillover2","tt","spillover2 tt",7,0,149,149,57,"Ambiguous","Inconsistent",149
"30571",1,33,"spillover2","tt","spillover2 tt",5,0,328,328,57,"Ambiguous","Consistent",328
"30573",1,45,"spillover2","tt","spillover2 tt",5,0,530,530,57,"Ambiguous","Consistent",530
"30575",1,34,"spillover2","tt","spillover2 tt",6,0,229,229,57,"Unambiguous","Consistent",229
"30577",1,35,"spillover2","tt","spillover2 tt",7,0,422,422,57,"Ambiguous","Inconsistent",422
"30579",1,29,"spillover2","tt","spillover2 tt",5,0,858,858,57,"Ambiguous","Consistent",858
"30581",1,41,"spillover2","tt","spillover2 tt",5,0,224,224,57,"Ambiguous","Consistent",224
"30583",1,38,"spillover2","tt","spillover2 tt",6,0,347,347,57,"Unambiguous","Consistent",347
"30585",1,43,"spillover2","tt","spillover2 tt",7,0,156,156,57,"Ambiguous","Inconsistent",156
"30587",1,39,"spillover2","tt","spillover2 tt",7,0,964,964,57,"Ambiguous","Inconsistent",964
"30589",1,48,"spillover2","tt","spillover2 tt",8,0,343,343,57,"Unambiguous","Inconsistent",343
"30591",1,36,"spillover2","tt","spillover2 tt",8,0,240,240,57,"Unambiguous","Inconsistent",240
"30593",2,32,"spillover2","tt","spillover2 tt",5,0,1411,1411,57,"Ambiguous","Consistent",1411
"30595",2,48,"spillover2","tt","spillover2 tt",5,0,445,445,57,"Ambiguous","Consistent",445
"30597",2,40,"spillover2","tt","spillover2 tt",5,0,372,372,57,"Ambiguous","Consistent",372
"30599",2,28,"spillover2","tt","spillover2 tt",5,1,0,NA,57,"Ambiguous","Consistent",NA
"30601",2,38,"spillover2","tt","spillover2 tt",7,0,311,311,57,"Ambiguous","Inconsistent",311
"30603",2,42,"spillover2","tt","spillover2 tt",7,0,143,143,57,"Ambiguous","Inconsistent",143
"30605",2,37,"spillover2","tt","spillover2 tt",6,0,605,605,57,"Unambiguous","Consistent",605
"30607",2,29,"spillover2","tt","spillover2 tt",6,0,290,290,57,"Unambiguous","Consistent",290
"30609",2,45,"spillover2","tt","spillover2 tt",6,0,364,364,57,"Unambiguous","Consistent",364
"30611",2,41,"spillover2","tt","spillover2 tt",6,0,303,303,57,"Unambiguous","Consistent",303
"30613",2,35,"spillover2","tt","spillover2 tt",8,0,290,290,57,"Unambiguous","Inconsistent",290
"30615",2,44,"spillover2","tt","spillover2 tt",5,0,201,201,57,"Ambiguous","Consistent",201
"30617",2,46,"spillover2","tt","spillover2 tt",7,1,0,NA,57,"Ambiguous","Inconsistent",NA
"30619",2,26,"spillover2","tt","spillover2 tt",7,1,0,NA,57,"Ambiguous","Inconsistent",NA
"30621",2,25,"spillover2","tt","spillover2 tt",6,1,0,NA,57,"Unambiguous","Consistent",NA
"30623",2,47,"spillover2","tt","spillover2 tt",8,1,0,NA,57,"Unambiguous","Inconsistent",NA
"30625",2,34,"spillover2","tt","spillover2 tt",7,0,350,350,57,"Ambiguous","Inconsistent",350
"30627",2,43,"spillover2","tt","spillover2 tt",8,0,573,573,57,"Unambiguous","Inconsistent",573
"30629",2,33,"spillover2","tt","spillover2 tt",6,0,621,621,57,"Unambiguous","Consistent",621
"30631",2,39,"spillover2","tt","spillover2 tt",8,0,393,393,57,"Unambiguous","Inconsistent",393
"30633",2,30,"spillover2","tt","spillover2 tt",7,0,370,370,57,"Ambiguous","Inconsistent",370
"30635",2,31,"spillover2","tt","spillover2 tt",8,0,155,155,57,"Unambiguous","Inconsistent",155
"30637",2,36,"spillover2","tt","spillover2 tt",5,0,1085,1085,57,"Ambiguous","Consistent",1085
"30639",2,27,"spillover2","tt","spillover2 tt",8,1,0,NA,57,"Unambiguous","Inconsistent",NA
"30641",3,36,"spillover2","tt","spillover2 tt",6,0,207,207,57,"Unambiguous","Consistent",207
"30643",3,27,"spillover2","tt","spillover2 tt",5,0,678,678,57,"Ambiguous","Consistent",678
"30645",3,37,"spillover2","tt","spillover2 tt",7,0,459,459,57,"Ambiguous","Inconsistent",459
"30647",3,41,"spillover2","tt","spillover2 tt",7,0,431,431,57,"Ambiguous","Inconsistent",431
"30649",3,26,"spillover2","tt","spillover2 tt",8,0,618,618,57,"Unambiguous","Inconsistent",618
"30651",3,45,"spillover2","tt","spillover2 tt",7,0,1014,1014,57,"Ambiguous","Inconsistent",1014
"30653",3,42,"spillover2","tt","spillover2 tt",8,0,887,887,57,"Unambiguous","Inconsistent",887
"30655",3,47,"spillover2","tt","spillover2 tt",5,0,1080,1080,57,"Ambiguous","Consistent",1080
"30657",3,29,"spillover2","tt","spillover2 tt",7,0,2073,2073,57,"Ambiguous","Inconsistent",2073
"30659",3,34,"spillover2","tt","spillover2 tt",8,0,427,427,57,"Unambiguous","Inconsistent",427
"30661",3,39,"spillover2","tt","spillover2 tt",5,0,870,870,57,"Ambiguous","Consistent",870
"30663",3,48,"spillover2","tt","spillover2 tt",6,0,340,340,57,"Unambiguous","Consistent",340
"30665",3,44,"spillover2","tt","spillover2 tt",6,0,413,413,57,"Unambiguous","Consistent",413
"30667",3,43,"spillover2","tt","spillover2 tt",5,0,360,360,57,"Ambiguous","Consistent",360
