"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"529",1,28,"wrap_up","rp",71,"Low","wrap_up rp",8,0,433,433,"Unambiguous","Inconsistent",433
"531",1,46,"wrap_up","rp",71,"Low","wrap_up rp",6,1,0,NA,"Unambiguous","Consistent",NA
"533",1,40,"wrap_up","rp",71,"Low","wrap_up rp",8,0,704,704,"Unambiguous","Inconsistent",704
"535",1,25,"wrap_up","rp",71,"Low","wrap_up rp",5,0,1874,1874,"Ambiguous","Consistent",1874
"537",1,42,"wrap_up","rp",71,"Low","wrap_up rp",6,0,1763,1763,"Unambiguous","Consistent",1763
"539",1,37,"wrap_up","rp",71,"Low","wrap_up rp",5,0,594,594,"Ambiguous","Consistent",594
"541",1,26,"wrap_up","rp",71,"Low","wrap_up rp",6,0,2105,2105,"Unambiguous","Consistent",2105
"543",1,30,"wrap_up","rp",71,"Low","wrap_up rp",6,0,1241,1241,"Unambiguous","Consistent",1241
"545",1,32,"wrap_up","rp",71,"Low","wrap_up rp",8,0,2172,2172,"Unambiguous","Inconsistent",2172
"547",1,31,"wrap_up","rp",71,"Low","wrap_up rp",7,0,2094,2094,"Ambiguous","Inconsistent",2094
"549",1,47,"wrap_up","rp",71,"Low","wrap_up rp",7,0,581,581,"Ambiguous","Inconsistent",581
"551",1,44,"wrap_up","rp",71,"Low","wrap_up rp",8,0,2365,2365,"Unambiguous","Inconsistent",2365
"553",1,27,"wrap_up","rp",71,"Low","wrap_up rp",7,0,1137,1137,"Ambiguous","Inconsistent",1137
"555",1,33,"wrap_up","rp",71,"Low","wrap_up rp",5,0,369,369,"Ambiguous","Consistent",369
"557",1,45,"wrap_up","rp",71,"Low","wrap_up rp",5,0,1245,1245,"Ambiguous","Consistent",1245
"559",1,34,"wrap_up","rp",71,"Low","wrap_up rp",6,0,752,752,"Unambiguous","Consistent",752
"561",1,35,"wrap_up","rp",71,"Low","wrap_up rp",7,0,647,647,"Ambiguous","Inconsistent",647
"563",1,29,"wrap_up","rp",71,"Low","wrap_up rp",5,0,8027,8027,"Ambiguous","Consistent",NA
"565",1,41,"wrap_up","rp",71,"Low","wrap_up rp",5,0,583,583,"Ambiguous","Consistent",583
"567",1,38,"wrap_up","rp",71,"Low","wrap_up rp",6,0,139,139,"Unambiguous","Consistent",139
"569",1,43,"wrap_up","rp",71,"Low","wrap_up rp",7,0,1526,1526,"Ambiguous","Inconsistent",1526
"571",1,39,"wrap_up","rp",71,"Low","wrap_up rp",7,0,1134,1134,"Ambiguous","Inconsistent",1134
"573",1,48,"wrap_up","rp",71,"Low","wrap_up rp",8,0,489,489,"Unambiguous","Inconsistent",489
"575",1,36,"wrap_up","rp",71,"Low","wrap_up rp",8,0,793,793,"Unambiguous","Inconsistent",793
"1393",2,32,"wrap_up","rp",71,"Low","wrap_up rp",5,0,1612,1612,"Ambiguous","Consistent",1612
"1395",2,48,"wrap_up","rp",71,"Low","wrap_up rp",5,0,912,912,"Ambiguous","Consistent",912
"1397",2,40,"wrap_up","rp",71,"Low","wrap_up rp",5,0,18179,18179,"Ambiguous","Consistent",NA
"1399",2,28,"wrap_up","rp",71,"Low","wrap_up rp",5,0,425,425,"Ambiguous","Consistent",425
"1401",2,38,"wrap_up","rp",71,"Low","wrap_up rp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"1403",2,42,"wrap_up","rp",71,"Low","wrap_up rp",7,0,1148,1148,"Ambiguous","Inconsistent",1148
"1405",2,37,"wrap_up","rp",71,"Low","wrap_up rp",6,0,1088,1088,"Unambiguous","Consistent",1088
"1407",2,29,"wrap_up","rp",71,"Low","wrap_up rp",6,1,0,NA,"Unambiguous","Consistent",NA
"1409",2,45,"wrap_up","rp",71,"Low","wrap_up rp",6,0,148,148,"Unambiguous","Consistent",148
"1411",2,41,"wrap_up","rp",71,"Low","wrap_up rp",6,0,2251,2251,"Unambiguous","Consistent",2251
"1413",2,35,"wrap_up","rp",71,"Low","wrap_up rp",8,0,108,108,"Unambiguous","Inconsistent",108
"1415",2,44,"wrap_up","rp",71,"Low","wrap_up rp",5,0,845,845,"Ambiguous","Consistent",845
"1417",2,46,"wrap_up","rp",71,"Low","wrap_up rp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"1419",2,26,"wrap_up","rp",71,"Low","wrap_up rp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"1421",2,25,"wrap_up","rp",71,"Low","wrap_up rp",6,0,182,182,"Unambiguous","Consistent",182
"1423",2,47,"wrap_up","rp",71,"Low","wrap_up rp",8,0,290,290,"Unambiguous","Inconsistent",290
"1425",2,34,"wrap_up","rp",71,"Low","wrap_up rp",7,0,452,452,"Ambiguous","Inconsistent",452
