"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"2",1,18,"disamb","fp",71,"disamb fp",2,0,264,264,"Ambiguous","Mismatch"
"4",1,15,"disamb","fp",71,"disamb fp",3,0,329,329,"Unambiguous","Match"
"6",1,1,"disamb","fp",71,"disamb fp",1,0,181,181,"Ambiguous","Match"
"8",1,6,"disamb","fp",71,"disamb fp",2,0,277,277,"Ambiguous","Mismatch"
"10",1,3,"disamb","fp",71,"disamb fp",3,0,147,147,"Unambiguous","Match"
"12",1,14,"disamb","fp",71,"disamb fp",2,0,371,371,"Ambiguous","Mismatch"
"14",1,4,"disamb","fp",71,"disamb fp",4,0,206,206,"Unambiguous","Mismatch"
"16",1,17,"disamb","fp",71,"disamb fp",1,1,0,NA,"Ambiguous","Match"
"18",1,5,"disamb","fp",71,"disamb fp",1,1,0,NA,"Ambiguous","Match"
"20",1,13,"disamb","fp",71,"disamb fp",1,0,310,310,"Ambiguous","Match"
"22",1,22,"disamb","fp",71,"disamb fp",2,0,519,519,"Ambiguous","Mismatch"
"24",1,8,"disamb","fp",71,"disamb fp",4,0,283,283,"Unambiguous","Mismatch"
"26",1,9,"disamb","fp",71,"disamb fp",1,0,218,218,"Ambiguous","Match"
"28",1,19,"disamb","fp",71,"disamb fp",3,0,203,203,"Unambiguous","Match"
"30",1,24,"disamb","fp",71,"disamb fp",4,0,199,199,"Unambiguous","Mismatch"
"32",1,12,"disamb","fp",71,"disamb fp",4,0,369,369,"Unambiguous","Mismatch"
"34",1,20,"disamb","fp",71,"disamb fp",4,0,223,223,"Unambiguous","Mismatch"
"36",1,10,"disamb","fp",71,"disamb fp",2,1,0,NA,"Ambiguous","Mismatch"
"38",1,11,"disamb","fp",71,"disamb fp",3,0,263,263,"Unambiguous","Match"
"40",1,16,"disamb","fp",71,"disamb fp",4,0,902,902,"Unambiguous","Mismatch"
"42",1,7,"disamb","fp",71,"disamb fp",3,0,444,444,"Unambiguous","Match"
"44",1,2,"disamb","fp",71,"disamb fp",2,0,315,315,"Ambiguous","Mismatch"
"46",1,21,"disamb","fp",71,"disamb fp",1,0,196,196,"Ambiguous","Match"
"48",1,23,"disamb","fp",71,"disamb fp",3,0,441,441,"Unambiguous","Match"
