"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","gender","trimmed_nozero"
"11456",1,18,"disamb","rp","disamb rp",2,0,264,264,72,"Ambiguous","Mismatch",264
"11458",1,15,"disamb","rp","disamb rp",3,0,329,329,72,"Unambiguous","Match",329
"11460",1,1,"disamb","rp","disamb rp",1,0,181,181,72,"Ambiguous","Match",181
"11462",1,6,"disamb","rp","disamb rp",2,0,277,277,72,"Ambiguous","Mismatch",277
"11464",1,3,"disamb","rp","disamb rp",3,0,562,562,72,"Unambiguous","Match",562
"11466",1,14,"disamb","rp","disamb rp",2,0,1215,1215,72,"Ambiguous","Mismatch",1215
"11468",1,4,"disamb","rp","disamb rp",4,0,206,206,72,"Unambiguous","Mismatch",206
"11470",1,17,"disamb","rp","disamb rp",1,1,0,NA,72,"Ambiguous","Match",NA
"11472",1,5,"disamb","rp","disamb rp",1,1,0,NA,72,"Ambiguous","Match",NA
"11474",1,13,"disamb","rp","disamb rp",1,0,310,310,72,"Ambiguous","Match",310
"11476",1,22,"disamb","rp","disamb rp",2,0,519,519,72,"Ambiguous","Mismatch",519
"11478",1,8,"disamb","rp","disamb rp",4,0,283,283,72,"Unambiguous","Mismatch",283
"11480",1,9,"disamb","rp","disamb rp",1,0,218,218,72,"Ambiguous","Match",218
"11482",1,19,"disamb","rp","disamb rp",3,0,203,203,72,"Unambiguous","Match",203
"11484",1,24,"disamb","rp","disamb rp",4,0,199,199,72,"Unambiguous","Mismatch",199
"11486",1,12,"disamb","rp","disamb rp",4,0,1277,1277,72,"Unambiguous","Mismatch",1277
"11488",1,20,"disamb","rp","disamb rp",4,0,223,223,72,"Unambiguous","Mismatch",223
"11490",1,10,"disamb","rp","disamb rp",2,1,0,NA,72,"Ambiguous","Mismatch",NA
"11492",1,11,"disamb","rp","disamb rp",3,0,263,263,72,"Unambiguous","Match",263
"11494",1,16,"disamb","rp","disamb rp",4,0,902,902,72,"Unambiguous","Mismatch",902
"11496",1,7,"disamb","rp","disamb rp",3,0,444,444,72,"Unambiguous","Match",444
"11498",1,2,"disamb","rp","disamb rp",2,0,315,315,72,"Ambiguous","Mismatch",315
"11500",1,21,"disamb","rp","disamb rp",1,0,196,196,72,"Ambiguous","Match",196
"11502",1,23,"disamb","rp","disamb rp",3,0,441,441,72,"Unambiguous","Match",441
"11504",2,16,"disamb","rp","disamb rp",1,0,1244,1244,72,"Ambiguous","Match",1244
"11506",2,4,"disamb","rp","disamb rp",1,0,1162,1162,72,"Ambiguous","Match",1162
"11508",2,2,"disamb","rp","disamb rp",3,0,877,877,72,"Unambiguous","Match",877
"11510",2,13,"disamb","rp","disamb rp",2,0,1119,1119,72,"Ambiguous","Mismatch",1119
"11512",2,19,"disamb","rp","disamb rp",4,0,1130,1130,72,"Unambiguous","Mismatch",1130
"11514",2,12,"disamb","rp","disamb rp",1,0,232,232,72,"Ambiguous","Match",232
"11516",2,10,"disamb","rp","disamb rp",3,0,747,747,72,"Unambiguous","Match",747
"11518",2,3,"disamb","rp","disamb rp",4,0,939,939,72,"Unambiguous","Mismatch",939
"11520",2,9,"disamb","rp","disamb rp",2,0,1107,1107,72,"Ambiguous","Mismatch",1107
"11522",2,21,"disamb","rp","disamb rp",2,0,229,229,72,"Ambiguous","Mismatch",229
"11524",2,15,"disamb","rp","disamb rp",4,0,501,501,72,"Unambiguous","Mismatch",501
"11526",2,18,"disamb","rp","disamb rp",3,0,264,264,72,"Unambiguous","Match",264
"11528",2,6,"disamb","rp","disamb rp",3,0,166,166,72,"Unambiguous","Match",166
"11530",2,5,"disamb","rp","disamb rp",2,0,154,154,72,"Ambiguous","Mismatch",154
"11532",2,14,"disamb","rp","disamb rp",3,0,867,867,72,"Unambiguous","Match",867
"11534",2,1,"disamb","rp","disamb rp",2,0,467,467,72,"Ambiguous","Mismatch",467
"11536",2,20,"disamb","rp","disamb rp",1,1,0,NA,72,"Ambiguous","Match",NA
"11538",2,11,"disamb","rp","disamb rp",4,0,210,210,72,"Unambiguous","Mismatch",210
"11540",2,7,"disamb","rp","disamb rp",4,0,464,464,72,"Unambiguous","Mismatch",464
"11542",2,23,"disamb","rp","disamb rp",4,0,523,523,72,"Unambiguous","Mismatch",523
"11544",2,8,"disamb","rp","disamb rp",1,0,362,362,72,"Ambiguous","Match",362
"11546",2,17,"disamb","rp","disamb rp",2,0,565,565,72,"Ambiguous","Mismatch",565
"11548",2,24,"disamb","rp","disamb rp",1,0,241,241,72,"Ambiguous","Match",241
"11550",2,22,"disamb","rp","disamb rp",3,0,234,234,72,"Unambiguous","Match",234
"11552",3,18,"disamb","rp","disamb rp",4,0,288,288,72,"Unambiguous","Mismatch",288
"11554",3,7,"disamb","rp","disamb rp",1,0,266,266,72,"Ambiguous","Match",266
"11556",3,16,"disamb","rp","disamb rp",2,0,695,695,72,"Ambiguous","Mismatch",695
"11558",3,5,"disamb","rp","disamb rp",3,0,414,414,72,"Unambiguous","Match",414
"11560",3,24,"disamb","rp","disamb rp",2,0,355,355,72,"Ambiguous","Mismatch",355
"11562",3,4,"disamb","rp","disamb rp",2,0,198,198,72,"Ambiguous","Mismatch",198
"11564",3,14,"disamb","rp","disamb rp",4,0,167,167,72,"Unambiguous","Mismatch",167
"11566",3,1,"disamb","rp","disamb rp",3,0,285,285,72,"Unambiguous","Match",285
"11568",3,9,"disamb","rp","disamb rp",3,0,615,615,72,"Unambiguous","Match",615
"11570",3,22,"disamb","rp","disamb rp",4,0,220,220,72,"Unambiguous","Mismatch",220
"11572",3,10,"disamb","rp","disamb rp",4,0,205,205,72,"Unambiguous","Mismatch",205
"11574",3,6,"disamb","rp","disamb rp",4,0,238,238,72,"Unambiguous","Mismatch",238
"11576",3,23,"disamb","rp","disamb rp",1,0,279,279,72,"Ambiguous","Match",279
"11578",3,17,"disamb","rp","disamb rp",3,0,286,286,72,"Unambiguous","Match",286
"11580",3,19,"disamb","rp","disamb rp",1,0,452,452,72,"Ambiguous","Match",452
"11582",3,13,"disamb","rp","disamb rp",3,0,558,558,72,"Unambiguous","Match",558
"11584",3,20,"disamb","rp","disamb rp",2,0,756,756,72,"Ambiguous","Mismatch",756
"11586",3,11,"disamb","rp","disamb rp",1,0,302,302,72,"Ambiguous","Match",302
"11588",3,2,"disamb","rp","disamb rp",4,0,177,177,72,"Unambiguous","Mismatch",177
"11590",3,12,"disamb","rp","disamb rp",2,0,310,310,72,"Ambiguous","Mismatch",310
"11592",3,21,"disamb","rp","disamb rp",3,0,397,397,72,"Unambiguous","Match",397
"11594",3,15,"disamb","rp","disamb rp",1,0,915,915,72,"Ambiguous","Match",915
"11596",3,8,"disamb","rp","disamb rp",2,0,391,391,72,"Ambiguous","Mismatch",391
"11598",3,3,"disamb","rp","disamb rp",1,0,697,697,72,"Ambiguous","Match",697
"11600",4,7,"disamb","rp","disamb rp",2,0,720,720,72,"Ambiguous","Mismatch",720
"11602",4,8,"disamb","rp","disamb rp",3,0,282,282,72,"Unambiguous","Match",282
"11604",4,11,"disamb","rp","disamb rp",2,0,520,520,72,"Ambiguous","Mismatch",520
"11606",4,22,"disamb","rp","disamb rp",1,0,798,798,72,"Ambiguous","Match",798
"11608",4,1,"disamb","rp","disamb rp",4,0,628,628,72,"Unambiguous","Mismatch",628
"11610",4,20,"disamb","rp","disamb rp",3,0,287,287,72,"Unambiguous","Match",287
"11612",4,23,"disamb","rp","disamb rp",2,0,282,282,72,"Ambiguous","Mismatch",282
"11614",4,3,"disamb","rp","disamb rp",2,0,5626,5626,72,"Ambiguous","Mismatch",NA
"11617",4,19,"disamb","rp","disamb rp",2,0,262,262,72,"Ambiguous","Mismatch",262
"11619",4,13,"disamb","rp","disamb rp",4,0,224,224,72,"Unambiguous","Mismatch",224
"11621",4,9,"disamb","rp","disamb rp",4,0,269,269,72,"Unambiguous","Mismatch",269
"11623",4,2,"disamb","rp","disamb rp",1,0,529,529,72,"Ambiguous","Match",529
"11626",4,4,"disamb","rp","disamb rp",3,0,479,479,72,"Unambiguous","Match",479
"11628",4,12,"disamb","rp","disamb rp",3,0,488,488,72,"Unambiguous","Match",488
"11630",4,16,"disamb","rp","disamb rp",3,0,400,400,72,"Unambiguous","Match",400
"11633",4,18,"disamb","rp","disamb rp",1,0,325,325,72,"Ambiguous","Match",325
"11635",4,24,"disamb","rp","disamb rp",3,0,293,293,72,"Unambiguous","Match",293
"11637",4,6,"disamb","rp","disamb rp",1,0,369,369,72,"Ambiguous","Match",369
"11639",4,17,"disamb","rp","disamb rp",4,0,263,263,72,"Unambiguous","Mismatch",263
"11642",4,14,"disamb","rp","disamb rp",1,0,613,613,72,"Ambiguous","Match",613
"11643",5,13,"disamb","rp","disamb rp",1,0,288,288,72,"Ambiguous","Match",288
"11645",5,4,"disamb","rp","disamb rp",4,0,325,325,72,"Unambiguous","Mismatch",325
"11647",5,9,"disamb","rp","disamb rp",1,0,289,289,72,"Ambiguous","Match",289
"11649",5,8,"disamb","rp","disamb rp",4,0,505,505,72,"Unambiguous","Mismatch",505
"11651",5,7,"disamb","rp","disamb rp",3,0,481,481,72,"Unambiguous","Match",481
"11653",5,16,"disamb","rp","disamb rp",4,0,886,886,72,"Unambiguous","Mismatch",886
"11655",5,19,"disamb","rp","disamb rp",3,0,1122,1122,72,"Unambiguous","Match",1122
"11657",5,17,"disamb","rp","disamb rp",1,0,448,448,72,"Ambiguous","Match",448
"11659",5,3,"disamb","rp","disamb rp",3,0,292,292,72,"Unambiguous","Match",292
"11661",5,14,"disamb","rp","disamb rp",2,0,1818,1818,72,"Ambiguous","Mismatch",1818
"11663",5,1,"disamb","rp","disamb rp",1,0,522,522,72,"Ambiguous","Match",522
"11665",5,15,"disamb","rp","disamb rp",3,0,279,279,72,"Unambiguous","Match",279
"11667",5,22,"disamb","rp","disamb rp",2,1,0,NA,72,"Ambiguous","Mismatch",NA
"11669",5,18,"disamb","rp","disamb rp",2,0,414,414,72,"Ambiguous","Mismatch",414
"11671",5,5,"disamb","rp","disamb rp",1,0,320,320,72,"Ambiguous","Match",320
"11673",5,2,"disamb","rp","disamb rp",2,0,402,402,72,"Ambiguous","Mismatch",402
"11675",5,23,"disamb","rp","disamb rp",3,0,542,542,72,"Unambiguous","Match",542
"11677",5,21,"disamb","rp","disamb rp",1,0,1138,1138,72,"Ambiguous","Match",1138
"11679",5,20,"disamb","rp","disamb rp",4,0,382,382,72,"Unambiguous","Mismatch",382
"11681",5,10,"disamb","rp","disamb rp",2,0,332,332,72,"Ambiguous","Mismatch",332
"11683",5,12,"disamb","rp","disamb rp",4,0,405,405,72,"Unambiguous","Mismatch",405
"11685",5,11,"disamb","rp","disamb rp",3,0,750,750,72,"Unambiguous","Match",750
"11687",5,24,"disamb","rp","disamb rp",4,0,363,363,72,"Unambiguous","Mismatch",363
"11689",5,6,"disamb","rp","disamb rp",2,0,443,443,72,"Ambiguous","Mismatch",443
"11691",6,12,"disamb","rp","disamb rp",1,0,740,740,72,"Ambiguous","Match",740
"11693",6,16,"disamb","rp","disamb rp",1,0,588,588,72,"Ambiguous","Match",588
"11695",6,13,"disamb","rp","disamb rp",2,0,386,386,72,"Ambiguous","Mismatch",386
"11697",6,7,"disamb","rp","disamb rp",4,0,884,884,72,"Unambiguous","Mismatch",884
"11699",6,18,"disamb","rp","disamb rp",3,0,284,284,72,"Unambiguous","Match",284
"11701",6,21,"disamb","rp","disamb rp",2,0,254,254,72,"Ambiguous","Mismatch",254
"11703",6,14,"disamb","rp","disamb rp",3,0,684,684,72,"Unambiguous","Match",684
"11705",6,4,"disamb","rp","disamb rp",1,0,464,464,72,"Ambiguous","Match",464
"11707",6,5,"disamb","rp","disamb rp",2,1,0,NA,72,"Ambiguous","Mismatch",NA
"11709",6,10,"disamb","rp","disamb rp",3,0,170,170,72,"Unambiguous","Match",170
"11711",6,3,"disamb","rp","disamb rp",4,1,0,NA,72,"Unambiguous","Mismatch",NA
"11713",6,11,"disamb","rp","disamb rp",4,0,204,204,72,"Unambiguous","Mismatch",204
"11715",6,24,"disamb","rp","disamb rp",1,0,230,230,72,"Ambiguous","Match",230
"11717",6,17,"disamb","rp","disamb rp",2,0,710,710,72,"Ambiguous","Mismatch",710
"11719",6,2,"disamb","rp","disamb rp",3,0,270,270,72,"Unambiguous","Match",270
"11721",6,9,"disamb","rp","disamb rp",2,0,268,268,72,"Ambiguous","Mismatch",268
"11723",6,15,"disamb","rp","disamb rp",4,0,404,404,72,"Unambiguous","Mismatch",404
"11725",6,19,"disamb","rp","disamb rp",4,0,710,710,72,"Unambiguous","Mismatch",710
"11728",6,1,"disamb","rp","disamb rp",2,0,394,394,72,"Ambiguous","Mismatch",394
"11730",6,8,"disamb","rp","disamb rp",1,0,312,312,72,"Ambiguous","Match",312
"11732",6,20,"disamb","rp","disamb rp",1,0,476,476,72,"Ambiguous","Match",476
"11734",6,23,"disamb","rp","disamb rp",4,0,336,336,72,"Unambiguous","Mismatch",336
"11736",6,6,"disamb","rp","disamb rp",3,0,306,306,72,"Unambiguous","Match",306
"11739",7,20,"disamb","rp","disamb rp",2,0,305,305,72,"Ambiguous","Mismatch",305
"11741",7,4,"disamb","rp","disamb rp",2,0,235,235,72,"Ambiguous","Mismatch",235
"11743",7,14,"disamb","rp","disamb rp",4,0,242,242,72,"Unambiguous","Mismatch",242
"11745",7,24,"disamb","rp","disamb rp",2,0,145,145,72,"Ambiguous","Mismatch",145
"11747",7,8,"disamb","rp","disamb rp",2,0,128,128,72,"Ambiguous","Mismatch",128
"11749",7,21,"disamb","rp","disamb rp",3,0,325,325,72,"Unambiguous","Match",325
"11751",7,18,"disamb","rp","disamb rp",4,0,212,212,72,"Unambiguous","Mismatch",212
"11753",7,5,"disamb","rp","disamb rp",3,0,165,165,72,"Unambiguous","Match",165
"11755",7,1,"disamb","rp","disamb rp",3,0,313,313,72,"Unambiguous","Match",313
"11757",7,19,"disamb","rp","disamb rp",1,0,431,431,72,"Ambiguous","Match",431
"11759",7,16,"disamb","rp","disamb rp",2,0,560,560,72,"Ambiguous","Mismatch",560
"11761",7,15,"disamb","rp","disamb rp",1,0,300,300,72,"Ambiguous","Match",300
"11763",7,23,"disamb","rp","disamb rp",1,0,185,185,72,"Ambiguous","Match",185
"11765",7,10,"disamb","rp","disamb rp",4,1,0,NA,72,"Unambiguous","Mismatch",NA
"11767",7,9,"disamb","rp","disamb rp",3,0,212,212,72,"Unambiguous","Match",212
"11769",7,6,"disamb","rp","disamb rp",4,0,188,188,72,"Unambiguous","Mismatch",188
"11771",7,2,"disamb","rp","disamb rp",4,0,263,263,72,"Unambiguous","Mismatch",263
"11773",7,7,"disamb","rp","disamb rp",1,0,331,331,72,"Ambiguous","Match",331
"11775",7,13,"disamb","rp","disamb rp",3,0,304,304,72,"Unambiguous","Match",304
"11777",7,12,"disamb","rp","disamb rp",2,0,176,176,72,"Ambiguous","Mismatch",176
"11779",7,11,"disamb","rp","disamb rp",1,0,168,168,72,"Ambiguous","Match",168
