"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"578",1,18,"disamb","tt",71,"disamb tt",2,0,468,468,"Ambiguous","Mismatch"
"580",1,15,"disamb","tt",71,"disamb tt",3,0,593,593,"Unambiguous","Match"
"582",1,1,"disamb","tt",71,"disamb tt",1,0,1133,1133,"Ambiguous","Match"
"584",1,6,"disamb","tt",71,"disamb tt",2,0,973,973,"Ambiguous","Mismatch"
"586",1,3,"disamb","tt",71,"disamb tt",3,0,606,606,"Unambiguous","Match"
"588",1,14,"disamb","tt",71,"disamb tt",2,0,371,371,"Ambiguous","Mismatch"
"590",1,4,"disamb","tt",71,"disamb tt",4,0,206,206,"Unambiguous","Mismatch"
"592",1,17,"disamb","tt",71,"disamb tt",1,1,0,NA,"Ambiguous","Match"
"594",1,5,"disamb","tt",71,"disamb tt",1,1,0,NA,"Ambiguous","Match"
"596",1,13,"disamb","tt",71,"disamb tt",1,0,739,739,"Ambiguous","Match"
"598",1,22,"disamb","tt",71,"disamb tt",2,0,519,519,"Ambiguous","Mismatch"
"600",1,8,"disamb","tt",71,"disamb tt",4,0,867,867,"Unambiguous","Mismatch"
"602",1,9,"disamb","tt",71,"disamb tt",1,0,368,368,"Ambiguous","Match"
"604",1,19,"disamb","tt",71,"disamb tt",3,0,203,203,"Unambiguous","Match"
"606",1,24,"disamb","tt",71,"disamb tt",4,0,397,397,"Unambiguous","Mismatch"
"608",1,12,"disamb","tt",71,"disamb tt",4,0,1026,1026,"Unambiguous","Mismatch"
"610",1,20,"disamb","tt",71,"disamb tt",4,0,477,477,"Unambiguous","Mismatch"
"612",1,10,"disamb","tt",71,"disamb tt",2,0,156,156,"Ambiguous","Mismatch"
"614",1,11,"disamb","tt",71,"disamb tt",3,0,491,491,"Unambiguous","Match"
"616",1,16,"disamb","tt",71,"disamb tt",4,0,902,902,"Unambiguous","Mismatch"
"618",1,7,"disamb","tt",71,"disamb tt",3,0,925,925,"Unambiguous","Match"
"620",1,2,"disamb","tt",71,"disamb tt",2,0,1210,1210,"Ambiguous","Mismatch"
"622",1,21,"disamb","tt",71,"disamb tt",1,0,196,196,"Ambiguous","Match"
"624",1,23,"disamb","tt",71,"disamb tt",3,0,633,633,"Unambiguous","Match"
"1442",2,16,"disamb","tt",71,"disamb tt",1,0,900,900,"Ambiguous","Match"
"1444",2,4,"disamb","tt",71,"disamb tt",1,0,2536,2536,"Ambiguous","Match"
"1446",2,2,"disamb","tt",71,"disamb tt",3,0,877,877,"Unambiguous","Match"
"1448",2,13,"disamb","tt",71,"disamb tt",2,0,1035,1035,"Ambiguous","Mismatch"
"1450",2,19,"disamb","tt",71,"disamb tt",4,0,1130,1130,"Unambiguous","Mismatch"
"1452",2,12,"disamb","tt",71,"disamb tt",1,0,232,232,"Ambiguous","Match"
"1454",2,10,"disamb","tt",71,"disamb tt",3,0,747,747,"Unambiguous","Match"
"1456",2,3,"disamb","tt",71,"disamb tt",4,0,814,814,"Unambiguous","Mismatch"
"1458",2,9,"disamb","tt",71,"disamb tt",2,0,882,882,"Ambiguous","Mismatch"
"1460",2,21,"disamb","tt",71,"disamb tt",2,0,229,229,"Ambiguous","Mismatch"
"1462",2,15,"disamb","tt",71,"disamb tt",4,0,501,501,"Unambiguous","Mismatch"
"1464",2,18,"disamb","tt",71,"disamb tt",3,0,264,264,"Unambiguous","Match"
"1466",2,6,"disamb","tt",71,"disamb tt",3,0,705,705,"Unambiguous","Match"
"1468",2,5,"disamb","tt",71,"disamb tt",2,0,154,154,"Ambiguous","Mismatch"
"1470",2,14,"disamb","tt",71,"disamb tt",3,0,576,576,"Unambiguous","Match"
"1472",2,1,"disamb","tt",71,"disamb tt",2,0,317,317,"Ambiguous","Mismatch"
"1474",2,20,"disamb","tt",71,"disamb tt",1,0,449,449,"Ambiguous","Match"
