"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"50",1,18,"spillover1","fp",71,"Low","spillover1 fp",2,0,243,243,"Ambiguous","Mismatch",243
"52",1,15,"spillover1","fp",71,"Low","spillover1 fp",3,0,219,219,"Unambiguous","Match",219
"54",1,1,"spillover1","fp",71,"Low","spillover1 fp",1,0,413,413,"Ambiguous","Match",413
"56",1,6,"spillover1","fp",71,"Low","spillover1 fp",2,0,289,289,"Ambiguous","Mismatch",289
"58",1,3,"spillover1","fp",71,"Low","spillover1 fp",3,0,246,246,"Unambiguous","Match",246
"60",1,14,"spillover1","fp",71,"Low","spillover1 fp",2,0,333,333,"Ambiguous","Mismatch",333
"62",1,4,"spillover1","fp",71,"Low","spillover1 fp",4,0,121,121,"Unambiguous","Mismatch",121
"64",1,17,"spillover1","fp",71,"Low","spillover1 fp",1,0,588,588,"Ambiguous","Match",588
"66",1,5,"spillover1","fp",71,"Low","spillover1 fp",1,0,733,733,"Ambiguous","Match",733
"68",1,13,"spillover1","fp",71,"Low","spillover1 fp",1,0,243,243,"Ambiguous","Match",243
"70",1,22,"spillover1","fp",71,"Low","spillover1 fp",2,0,304,304,"Ambiguous","Mismatch",304
"72",1,8,"spillover1","fp",71,"Low","spillover1 fp",4,0,178,178,"Unambiguous","Mismatch",178
"74",1,9,"spillover1","fp",71,"Low","spillover1 fp",1,0,306,306,"Ambiguous","Match",306
"76",1,19,"spillover1","fp",71,"Low","spillover1 fp",3,0,220,220,"Unambiguous","Match",220
"78",1,24,"spillover1","fp",71,"Low","spillover1 fp",4,0,181,181,"Unambiguous","Mismatch",181
"80",1,12,"spillover1","fp",71,"Low","spillover1 fp",4,0,210,210,"Unambiguous","Mismatch",210
"82",1,20,"spillover1","fp",71,"Low","spillover1 fp",4,0,184,184,"Unambiguous","Mismatch",184
"84",1,10,"spillover1","fp",71,"Low","spillover1 fp",2,0,473,473,"Ambiguous","Mismatch",473
"86",1,11,"spillover1","fp",71,"Low","spillover1 fp",3,0,231,231,"Unambiguous","Match",231
